County,Public,Total Number,County (Centroid),Year
Wajir          ,Total ,1223,"(1.8081376, 40.0349856)",12/31/2014 12:00:00 AM
West Pokot     ,Total ,4222,"(1.7401062, 35.2438468)",12/31/2014 12:00:00 AM
Kenya          ,Total ,242071,,12/31/2014 12:00:00 AM
Baringo        ,Privat,809,"(0.669252, 35.9464654)",12/31/2014 12:00:00 AM
Bomet          ,Privat,1851,"(-0.7262946, 35.2985976)",12/31/2014 12:00:00 AM
Bungoma        ,Privat,2156,"(0.7492852, 34.6404609)",12/31/2014 12:00:00 AM
Busia          ,Privat,900,"(0.3874437, 34.1936315)",12/31/2014 12:00:00 AM
Elgeyo Marakwet,Privat,547,"(0.8022188, 35.5365631)",12/31/2014 12:00:00 AM
Embu           ,Privat,1071,"(-0.6039744, 37.6265013)",12/31/2014 12:00:00 AM
Garissa        ,Privat,1498,"(-0.4889103, 40.1992785)",12/31/2014 12:00:00 AM
Homa Bay       ,Privat,1872,"(-0.5428094, 34.3589969)",12/31/2014 12:00:00 AM
Isiolo         ,Privat,387,"(1.0104431, 38.5421531)",12/31/2014 12:00:00 AM
Kajiado        ,Privat,2276,"(-2.1213836, 36.9088422)",12/31/2014 12:00:00 AM
Kakamega       ,Privat,2349,"(0.4036835, 34.7445112)",12/31/2014 12:00:00 AM
Kericho        ,Privat,2405,"(-0.2957329, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,Privat,5402,"(-1.0687061, 36.8235643)",12/31/2014 12:00:00 AM
Kilifi         ,Privat,2164,"(-3.175732, 39.6866876)",12/31/2014 12:00:00 AM
Kirinyaga      ,Privat,1635,"(-0.5247463, 37.3198681)",12/31/2014 12:00:00 AM
Kisii          ,Privat,2800,"(-0.7746038, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,Privat,1322,"(-0.1694587, 34.8352035)",12/31/2014 12:00:00 AM
Kitui          ,Privat,1245,"(-1.4910385, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,Privat,645,"(-4.1831495, 39.1904119)",12/31/2014 12:00:00 AM
Laikipia       ,Privat,848,"(0.3236041, 36.7717279)",12/31/2014 12:00:00 AM
Lamu           ,Privat,161,"(-2.0786825, 40.8828607)",12/31/2014 12:00:00 AM
Machakos       ,Privat,1531,"(-1.2795123, 37.412676)",12/31/2014 12:00:00 AM
Makueni        ,Privat,789,"(-2.1576841, 37.7882456)",12/31/2014 12:00:00 AM
Mandera        ,Privat,341,"(3.4364695, 40.7388102)",12/31/2014 12:00:00 AM
Marsabit       ,Privat,308,"(2.9786588, 37.5695361)",12/31/2014 12:00:00 AM
Meru           ,Privat,2865,"(0.1667792, 37.7640371)",12/31/2014 12:00:00 AM
Migori         ,Privat,1795,"(-0.9895368, 34.3633453)",12/31/2014 12:00:00 AM
Mombasa        ,Privat,3492,"(-4.0212562, 39.6508827)",12/31/2014 12:00:00 AM
Muranga        ,Privat,1538,"(-0.8095905, 37.0327225)",12/31/2014 12:00:00 AM
Nairobi        ,Privat,11295,"(-1.2934135, 36.8681893)",12/31/2014 12:00:00 AM
Nakuru         ,Privat,3390,"(-0.4636754, 36.0784791)",12/31/2014 12:00:00 AM
Nandi          ,Privat,1492,"(0.1866889, 35.1104877)",12/31/2014 12:00:00 AM
Narok          ,Privat,1119,"(-1.2547903, 35.5763292)",12/31/2014 12:00:00 AM
Nyamira        ,Privat,1326,"(-0.6427324, 34.9646596)",12/31/2014 12:00:00 AM
Nyandarua      ,Privat,1440,"(-0.3220778, 36.4828692)",12/31/2014 12:00:00 AM
Nyeri          ,Privat,1894,"(-0.3429236, 36.9564781)",12/31/2014 12:00:00 AM
Samburu        ,Privat,135,"(1.3168546, 37.1183941)",12/31/2014 12:00:00 AM
Siaya          ,Privat,531,"(-0.0621299, 34.2476417)",12/31/2014 12:00:00 AM
Taita Taveta   ,Privat,366,"(-3.434734, 38.418602)",12/31/2014 12:00:00 AM
Tana River     ,Privat,100,"(-1.5263666, 39.4178692)",12/31/2014 12:00:00 AM
Tharaka-Nithi  ,Privat,652,"(-0.2070612, 37.8702973)",12/31/2014 12:00:00 AM
Trans Nzoia    ,Privat,1396,"(1.0509548, 34.95742)",12/31/2014 12:00:00 AM
Turkana        ,Privat,649,"(3.4248492, 35.4357585)",12/31/2014 12:00:00 AM
Uasin Gishu    ,Privat,1620,"(0.5260859, 35.3220117)",12/31/2014 12:00:00 AM
Vihiga         ,Privat,561,"(0.0762658, 34.722323)",12/31/2014 12:00:00 AM
Wajir          ,Privat,237,"(1.8081376, 40.0349856)",12/31/2014 12:00:00 AM
West Pokot     ,Privat,201,"(1.7401062, 35.2438468)",12/31/2014 12:00:00 AM
Kenya          ,Privat,75406,,12/31/2014 12:00:00 AM
